"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","452.69","451.16","452.98","448.43","77.10M","0.49%"
"24-03-2022","450.49","445.94","450.50","444.76","64.74M","1.51%"
"23-03-2022","443.80","446.91","448.49","443.71","79.43M","-1.29%"
"22-03-2022","449.59","445.86","450.58","445.86","74.65M","1.17%"
"21-03-2022","444.39","444.34","446.46","440.68","88.35M","-0.03%"
"18-03-2022","444.52","438.00","444.86","437.22","106.35M","0.78%"
"17-03-2022","441.07","433.59","441.07","433.19","102.68M","1.25%"
"16-03-2022","435.62","429.89","435.68","424.80","144.95M","2.22%"
"15-03-2022","426.17","419.77","426.84","418.42","106.22M","2.20%"
"14-03-2022","417.00","420.89","424.55","415.79","95.73M","-0.73%"
"11-03-2022","420.07","428.12","428.77","419.53","95.64M","-1.27%"
"10-03-2022","425.48","422.52","426.43","420.44","93.97M","-0.45%"
"09-03-2022","427.41","425.14","429.51","422.82","116.99M","2.68%"
"08-03-2022","416.25","419.62","427.21","415.12","164.77M","-0.76%"
"07-03-2022","419.43","431.55","432.30","419.36","137.90M","-2.95%"
"04-03-2022","432.17","431.75","433.37","427.88","114.08M","-0.81%"
"03-03-2022","435.71","440.47","441.11","433.80","105.50M","-0.50%"
"02-03-2022","437.89","432.37","439.72","431.57","117.73M","1.84%"
"01-03-2022","429.98","435.04","437.17","427.11","137.79M","-1.52%"
"28-02-2022","436.63","432.03","438.20","430.70","145.62M","-0.26%"
"25-02-2022","437.75","429.61","437.84","427.86","121.80M","2.21%"
"24-02-2022","428.30","411.02","428.76","410.64","213.94M","1.50%"
"23-02-2022","421.95","432.66","433.26","421.35","132.58M","-1.77%"
"22-02-2022","429.57","431.89","435.50","425.86","124.39M","-1.07%"
"18-02-2022","434.23","437.33","438.66","431.82","132.64M","-0.65%"
"17-02-2022","437.06","443.22","446.57","436.42","102.26M","-2.14%"
"16-02-2022","446.60","443.93","448.06","441.94","84.86M","0.11%"
"15-02-2022","446.10","443.73","446.28","443.18","88.66M","1.61%"
"14-02-2022","439.02","439.92","441.60","435.34","123.01M","-0.33%"
"11-02-2022","440.46","449.41","451.61","438.94","153.21M","-1.97%"
"10-02-2022","449.32","451.34","457.71","447.20","140.10M","-1.80%"
"09-02-2022","457.54","455.22","457.88","455.00","92.59M","1.46%"
"08-02-2022","450.94","446.73","451.92","445.22","81.01M","0.82%"
"07-02-2022","447.26","449.51","450.99","445.85","84.47M","-0.32%"
"04-02-2022","448.70","446.35","452.78","443.83","118.45M","0.47%"
"03-02-2022","446.60","450.95","452.97","445.71","118.02M","-2.35%"
"02-02-2022","457.35","455.50","458.12","453.05","117.36M","0.97%"
"01-02-2022","452.95","450.68","453.63","446.94","123.16M","0.68%"
"31-01-2022","449.91","441.24","450.28","439.81","152.25M","1.80%"
"28-01-2022","441.95","432.68","442.00","427.82","164.46M","2.48%"
"27-01-2022","431.24","438.26","441.59","429.45","149.88M","-0.49%"
"26-01-2022","433.38","440.72","444.04","428.86","186.39M","-0.25%"
"25-01-2022","434.47","433.06","439.72","427.15","168.00M","-1.22%"